city,state,country,first_name,last_name,agent,publication_date
New York City,New York,USA,T S,Wright,local,02-21-1844
Newark,Ohio,USA,G W,Roots,local,05-29-1844
Newark,Ohio,USA,W,Jenkins,local,02-21-1844
Newark,Ohio,USA,H,Robinson,local,02-21-1844
Oberlin,Ohio,USA,J M,Brown,local,09-25-1844
Oberlin,Ohio,USA,T,Fisher,local,07-03-1844
Oberlin,Ohio,USA,A,Jones,local,02-21-1844
Oberlin,Ohio,USA,W P,Newman,local,02-21-1844
Piketon,Ohio,USA,W,Evans,local,02-28-1844
Pittsburgh,Pennsylvania,USA,J B,Vashon,local,04-17-1844
Putnam,Ohio,USA,J,Thomas,local,02-21-1844
Richmond,Ohio,USA,C,Oston,local,03-20-1844
Rochester,New York,USA,J,Sharp,local,03-20-1844
Sardinia,Ohio,USA,Rev E,Cumberland,traveling,02-21-1844
Sardinia,Ohio,USA,Rev,Fox,traveling,02-21-1844
Sharonville,Ohio,USA,D,Lucus,local,03-20-1844
Sharonville,Ohio,USA,C,Smith,local,03-20-1844
Sharonville,Ohio,USA,W,Polson,local,03-20-1844
Shelby County,Ohio,USA,H,Galloway,local,05-29-1844
Shelby County,Ohio,USA,A N,Redmon,local,05-29-1844
Shelby County,Ohio,USA,J,Robertson,local,04-17-1844
Springfield,Ohio,USA,W,Piles,local,02-21-1844
Springfield,Ohio,USA,Rev T,Roberts,traveling,02-21-1844
Springfield,Ohio,USA,R,Piles,local,02-21-1844
Steubenville,Ohio,USA,Wm,Ferris,local,02-21-1844
Summerton,Ohio,USA,A,Harper,local,02-21-1844
Terre Haute,Indiana,USA,E,Roy,local,04-17-1844
Trenton,Ohio,USA,Jas,Simpson,local,02-21-1844
Troy,New York,USA,H H,Garnett,local,02-21-1844
U Moody,Ohio,USA,C H,Langston,local,02-28-1844
U Moody,Ohio,USA,J,Burnett,local,02-28-1844
Urbana,Ohio,USA,L,Adams,local,02-21-1844
Urbana,Ohio,USA,A,Kane,local,02-21-1844
